,Sn,Bi,In,Ti,Y
0,1.0,0.0,0.0,0.0,22.837905690368917
1,0.9883720930232549,0.0,0.0,0.16666666666666666,23.084822184625445
2,0.9767441860465116,0.0,0.0,0.33333333333333326,23.056430213451314
3,0.9651162790697665,0.0,0.0,0.5,22.755503591827615
4,0.9534883720930232,0.0,0.0,0.6666666666666666,22.226196355692117
5,0.9418604651162799,0.0,0.0,0.8333333333333333,21.54341574384479
6,0.9302325581395348,0.0,0.0,1.0,20.79546712957546
7,0.9883720930232549,0.025000000000000022,0.0,0.0,22.829501998847284
8,0.9767441860465116,0.025000000000000022,0.0,0.16666666666666666,23.07068295843958
9,0.9651162790697665,0.025000000000000022,0.0,0.33333333333333326,23.036025213238524
10,0.9534883720930232,0.025000000000000022,0.0,0.5,22.729113810837514
11,0.9418604651162799,0.025000000000000022,0.0,0.6666666666666666,22.194968335803427
12,0.9302325581395348,0.025000000000000022,0.0,0.8333333333333333,21.50921023016932
13,0.9186046511627914,0.025000000000000022,0.0,1.0,20.760536021574932
14,0.9767441860465116,0.04999999999999999,0.0,0.0,22.8084711752086
15,0.9651162790697665,0.04999999999999999,0.0,0.16666666666666666,23.043061834652345
16,0.9534883720930232,0.04999999999999999,0.0,0.33333333333333326,23.00190528595574
17,0.9418604651162799,0.04999999999999999,0.0,0.5,22.689428324421247
18,0.9302325581395348,0.04999999999999999,0.0,0.6666666666666666,22.151454807640157
19,0.9186046511627914,0.04999999999999999,0.0,0.8333333333333333,21.464181983117477
20,0.9069767441860463,0.04999999999999999,0.0,1.0,20.71651308523379
21,0.9651162790697665,0.07500000000000007,0.0,0.0,22.774549187468352
22,0.9534883720930232,0.07500000000000007,0.0,0.16666666666666666,23.00169567061472
23,0.9418604651162799,0.07500000000000007,0.0,0.33333333333333326,22.95382332508503
24,0.9302325581395348,0.07500000000000007,0.0,0.5,22.636229034937543
25,0.9186046511627914,0.07500000000000007,0.0,0.6666666666666666,22.095475488823972
26,0.9069767441860463,0.07500000000000007,0.0,0.8333333333333333,21.40819216491857
27,0.895348837209303,0.07500000000000007,0.0,1.0,20.66329953006154
28,0.9534883720930232,0.09999999999999998,0.0,0.0,22.727533058019198
29,0.9418604651162799,0.09999999999999998,0.0,0.16666666666666666,22.94638691882477
30,0.9302325581395348,0.09999999999999998,0.0,0.33333333333333326,22.891599412189144
31,0.9186046511627914,0.09999999999999998,0.0,0.5,22.56936346800441
32,0.9069767441860463,0.09999999999999998,0.0,0.6666666666666666,22.026911226704602
33,0.895348837209303,0.09999999999999998,0.0,0.8333333333333333,21.341156258443192
34,0.8837209302325579,0.09999999999999998,0.0,1.0,20.600842621766212
35,0.9418604651162799,0.125,0.0,0.0,22.667283870714936
36,0.9302325581395348,0.125,0.0,0.16666666666666666,22.877006719327078
37,0.9186046511627914,0.125,0.0,0.33333333333333326,22.81512383851446
38,0.9069767441860463,0.125,0.0,0.5,22.488747577330685
39,0.895348837209303,0.125,0.0,0.6666666666666666,21.94570647142699
40,0.8837209302325579,0.125,0.0,0.8333333333333333,21.263046138081624
41,0.8720930232558128,0.125,0.0,1.0,20.52913732887072
42,0.9302325581395348,0.15000000000000002,0.0,0.0,22.593729344364736
43,0.9186046511627914,0.15000000000000002,0.0,0.16666666666666666,22.793497524200596
44,0.9069767441860463,0.15000000000000002,0.0,0.33333333333333326,22.7243596452252
45,0.895348837209303,0.15000000000000002,0.0,0.5,22.394368077384875
46,0.8837209302325579,0.15000000000000002,0.0,0.6666666666666666,21.85187130735003
