,Sn,Bi,In,Ti,Y
0,1.0,0.0,0.0,0.0,23.060971426839355
1,0.9883720930232549,0.0,0.0,0.16666666666666666,23.306946352828867
2,0.9767441860465116,0.0,0.0,0.33333333333333326,23.2715147500266
3,0.9651162790697665,0.0,0.0,0.5,22.95827097941117
4,0.9534883720930232,0.0,0.0,0.6666666666666666,22.412625555520155
5,0.9418604651162799,0.0,0.0,0.8333333333333333,21.711002191216018
6,0.9302325581395348,0.0,0.0,1.0,20.943307637159386
7,0.9883720930232549,0.025000000000000022,0.0,0.0,23.049897536331255
8,0.9767441860465116,0.025000000000000022,0.0,0.16666666666666666,23.2900252646021
9,0.9651162790697665,0.025000000000000022,0.0,0.33333333333333326,23.248352211339963
10,0.9534883720930232,0.025000000000000022,0.0,0.5,22.92927304280607
11,0.9418604651162799,0.025000000000000022,0.0,0.6666666666666666,22.37903502347619
12,0.9302325581395348,0.025000000000000022,0.0,0.8333333333333333,21.67473788366979
13,0.9186046511627914,0.025000000000000022,0.0,1.0,20.906641575465425
14,0.9767441860465116,0.04999999999999999,0.0,0.0,23.025902259493666
15,0.9651162790697665,0.04999999999999999,0.0,0.16666666666666666,23.259332941087635
16,0.9534883720930232,0.04999999999999999,0.0,0.33333333333333326,23.21120117441598
17,0.9418604651162799,0.04999999999999999,0.0,0.5,22.886730323118194
18,0.9302325581395348,0.04999999999999999,0.0,0.6666666666666666,22.332940420627796
19,0.9186046511627914,0.04999999999999999,0.0,0.8333333333333333,21.627465977766672
20,0.9069767441860463,0.04999999999999999,0.0,1.0,20.860733067226736
21,0.9651162790697665,0.07500000000000007,0.0,0.0,22.9887306324847
22,0.9534883720930232,0.07500000000000007,0.0,0.16666666666666666,23.21461588074023
23,0.9418604651162799,0.07500000000000007,0.0,0.33333333333333326,23.159824214118558
24,0.9302325581395348,0.07500000000000007,0.0,0.5,22.83043393727919
25,0.9186046511627914,0.07500000000000007,0.0,0.6666666666666666,22.274169811258353
26,0.9069767441860463,0.07500000000000007,0.0,0.8333333333333333,21.56905486590853
27,0.895348837209303,0.07500000000000007,0.0,1.0,20.80548934485067
28,0.9534883720930232,0.09999999999999998,0.0,0.0,22.938189961655922
29,0.9418604651162799,0.09999999999999998,0.0,0.16666666666666666,23.15568735121047
30,0.9302325581395348,0.09999999999999998,0.0,0.33333333333333326,23.09405218424596
31,0.9186046511627914,0.09999999999999998,0.0,0.5,22.760241603642832
32,0.9069767441860463,0.09999999999999998,0.0,0.6666666666666666,22.20261323816006
33,0.895348837209303,0.09999999999999998,0.0,0.8333333333333333,21.499427975291983
34,0.8837209302325579,0.09999999999999998,0.0,1.0,20.740864280134982
35,0.9418604651162799,0.125,0.0,0.0,22.874152758926897
36,0.9302325581395348,0.125,0.0,0.16666666666666666,23.08243040506337
37,0.9186046511627914,0.125,0.0,0.33333333333333326,23.013787161902854
38,0.9069767441860463,0.125,0.0,0.5,22.676080373322
39,0.895348837209303,0.125,0.0,0.6666666666666666,22.118225129396855
40,0.8837209302325579,0.125,0.0,0.8333333333333333,21.41856578186012
41,0.8720930232558128,0.125,0.0,1.0,20.666859984162496
42,0.9302325581395348,0.15000000000000002,0.0,0.0,22.796559236151587
43,0.9186046511627914,0.15000000000000002,0.0,0.16666666666666666,22.994800420627683
44,0.9069767441860463,0.15000000000000002,0.0,0.33333333333333326,22.919004904229354
45,0.895348837209303,0.15000000000000002,0.0,0.5,22.577948883892827
46,0.8837209302325579,0.15000000000000002,0.0,0.6666666666666666,22.021026258780726
47,0.8720930232558128,0.15000000000000002,0.0,0.8333333333333333,21.32650742640028
48,0.8604651162790695,0.15000000000000002,0.0,1.0,20.583528068752628
49,0.9186046511627914,0.17499999999999993,0.0,0.0,22.70541932412631
