feature1,feature2,feature3,feature4,score1,score2
90.2,4.400000000000002,3.5000000000000018,0.4,84.24059400512299,13.684796580512709
90.1,4.400000000000002,3.5000000000000018,0.5,85.40754978940676,13.25937250527776
90.1,4.500000000000003,3.5000000000000018,0.4,85.13525710111624,13.386476747875776
90.0,4.500000000000003,3.5000000000000018,0.5,86.31868696566363,12.994318061467206
89.99999999999999,4.600000000000003,3.5000000000000018,0.4,86.006371432387,13.094734399139458
93.1,1.6,3.600000000000002,0.2,61.41540028677901,21.58783941486756
93.0,1.7000000000000002,3.600000000000002,0.2,61.914545594326576,21.551348647076157
92.9,1.8000000000000005,3.600000000000002,0.2,62.43469791875944,21.4928437143976
92.79999999999998,1.9000000000000004,3.600000000000002,0.2,62.974699526173886,21.41186326066901
92.7,2.0000000000000004,3.600000000000002,0.2,63.5333672540319,21.308090254939234
92.6,2.1000000000000005,3.600000000000002,0.2,64.10954353912051,21.181382089705632
92.5,2.2000000000000006,3.600000000000002,0.2,64.70215351090536,21.031802769607555
92.4,2.3000000000000007,3.600000000000002,0.2,65.31026258090462,20.859653402453322
92.29999999999998,2.400000000000001,3.600000000000002,0.2,65.93312663702855,20.665495787697324
91.9,2.800000000000001,3.600000000000002,0.2,68.56507934036401,19.689288195752617
91.79999999999998,2.900000000000001,3.600000000000002,0.2,69.25810287912881,19.402468615602192
91.7,3.0000000000000013,3.600000000000002,0.2,69.96544257349808,19.101952498339863
91.6,3.1000000000000014,3.600000000000002,0.2,70.68718478515622,18.789580908567622
91.5,3.200000000000001,3.600000000000002,0.2,71.42324208861692,18.467196094669795
91.4,3.200000000000001,3.600000000000002,0.3,72.39849466676957,17.98002234291907
91.4,3.3000000000000016,3.600000000000002,0.2,72.17328501023653,18.136605305604153
91.29999999999998,3.4000000000000017,3.600000000000002,0.2,72.93669250974644,17.799553620005828
91.2,3.5000000000000018,3.600000000000002,0.2,73.7125218403011,17.457704749912967
90.6,4.000000000000002,3.600000000000002,0.3,79.4213565954031,15.276911363533227
90.5,4.100000000000002,3.600000000000002,0.3,80.31369274467374,14.940867426872606
90.1,4.3000000000000025,3.600000000000002,0.5,84.96483363413854,13.389081088971295
89.99999999999999,4.400000000000002,3.600000000000002,0.5,85.90176639633779,13.123939971248987
89.99999999999999,4.500000000000003,3.600000000000002,0.4,85.56935511280653,13.239022653980424
89.89999999999999,4.500000000000003,3.600000000000002,0.5,86.81565692111536,12.86469575576987
89.89999999999998,4.600000000000003,3.600000000000002,0.4,86.44059000998377,12.952829241962354
93.0,1.6,3.700000000000002,0.2,61.96400877254391,21.519157068587802
92.9,1.7000000000000002,3.700000000000002,0.2,62.460066563732866,21.476056897492374
92.8,1.8000000000000005,3.700000000000002,0.2,62.97556984005891,21.410575862838588
92.7,1.9000000000000004,3.700000000000002,0.2,63.50935209427012,21.322275089764094
92.6,2.0000000000000004,3.700000000000002,0.2,64.06026777850754,21.210881728933384
92.5,2.1000000000000005,3.700000000000002,0.2,64.62725254124587,21.076323457864234
92.4,2.2000000000000006,3.700000000000002,0.2,65.20938574942583,20.918762684427755
92.3,2.3000000000000007,3.700000000000002,0.2,65.80594726391662,20.738625186972065
92.2,2.400000000000001,3.700000000000002,0.2,66.41645878836825,20.536617138091767
92.1,2.500000000000001,3.700000000000002,0.2,67.04070050980123,20.313725343378064
92.0,2.600000000000001,3.700000000000002,0.2,67.67869676075573,20.0711982619089
91.8,2.800000000000001,3.700000000000002,0.2,68.99696559660549,19.533306941128263
91.7,2.900000000000001,3.700000000000002,0.2,69.67796452382693,19.24136006960316
91.6,3.0000000000000013,3.700000000000002,0.2,70.37398374385948,18.936503126118453
91.5,3.1000000000000014,3.700000000000002,0.2,71.08518780090648,18.620588471126602
91.4,3.200000000000001,3.700000000000002,0.2,71.81151266105665,18.295447290514076
91.3,3.3000000000000016,3.700000000000002,0.2,72.55260881591131,17.96285998888168
90.0,4.3000000000000025,3.700000000000002,0.5,85.44279827658407,13.249094415359734
89.89999999999999,4.400000000000002,3.700000000000002,0.5,86.38205082899643,12.989913466290133
89.8,4.500000000000003,3.700000000000002,0.5,87.2981260487062,12.736960132735549
89.79999999999998,4.600000000000003,3.700000000000002,0.4,86.85862414228092,12.812075557044928
89.69999999999999,4.600000000000003,3.700000000000002,0.5,88.18736747389922,12.49072602168
92.9,1.6,3.800000000000002,0.2,62.504532815701886,21.43548031692926
92.8,1.7000000000000002,3.800000000000002,0.2,62.99580312093787,21.385415162391975
92.6,1.9000000000000004,3.800000000000002,0.2,64.03086673462784,21.216737248770567
92.5,2.0000000000000004,3.800000000000002,0.2,64.57248366741533,21.0975245208664
92.4,2.1000000000000005,3.800000000000002,0.2,65.12889920987568,20.95501957618312
92.3,2.2000000000000006,3.800000000000002,0.2,65.69940887037522,20.789509077171555
92.2,2.3000000000000007,3.800000000000002,0.2,66.28355973302845,20.60156385509543
92.1,2.400000000000001,3.800000000000002,0.2,66.88117464322973,20.39204519637886
92.0,2.500000000000001,3.800000000000002,0.2,67.4923452375781,20.162091527563106
91.9,2.600000000000001,3.800000000000002,0.2,68.11739145970549,19.913085922286914
91.8,2.700000000000001,3.800000000000002,0.2,68.75679139853416,19.6466088028249
91.7,2.800000000000001,3.800000000000002,0.2,69.41109067760019,19.364382771692842
91.6,2.900000000000001,3.800000000000002,0.2,70.08080354135811,19.06821690737063
91.5,3.0000000000000013,3.800000000000002,0.2,70.7663176177057,18.7599563510111
91.4,3.1000000000000014,3.800000000000002,0.2,71.46781167818462,18.44144055234316
91.3,3.200000000000001,3.800000000000002,0.2,72.1851918683077,18.11447114658281
89.9,4.3000000000000025,3.800000000000002,0.5,85.90736949439913,13.110997166988383
89.8,4.400000000000002,3.800000000000002,0.5,86.84824192641175,12.85821491486343
89.7,4.500000000000003,3.800000000000002,0.5,87.76583033067926,12.611979908650497
89.6,4.600000000000003,3.800000000000002,0.5,88.65637231879602,12.372724619058165
92.8,1.6,3.900000000000002,0.2,63.0344174558767,21.33662496430464
92.4,2.0000000000000004,3.900000000000002,0.2,65.06841858029904,20.968209209006297
92.3,2.1000000000000005,3.900000000000002,0.2,65.61330960660447,20.81782814358539
92.2,2.2000000000000006,3.900000000000002,0.2,66.17152890548374,20.64458928175699
92.1,2.3000000000000007,3.900000000000002,0.2,66.74292080740696,20.449218181067238
92.0,2.400000000000001,3.900000000000002,0.2,67.32761535018678,20.232728575926036
91.9,2.500000000000001,3.900000000000002,0.2,67.92599539763326,19.996395323331814
91.8,2.600000000000001,3.900000000000002,0.2,68.53863234909329,19.741710840867015
91.7,2.700000000000001,3.900000000000002,0.2,69.16619862695369,19.47033153870317
91.6,2.800000000000001,3.900000000000002,0.2,69.80936869103363,19.184021734016873
91.5,2.900000000000001,3.900000000000002,0.2,70.46872085011836,18.88460145153504
91.4,3.0000000000000013,3.900000000000002,0.2,71.14464996866764,18.573902191676492
91.3,3.1000000000000014,3.900000000000002,0.2,71.8372974882098,18.253732242863077
89.69999999999999,4.400000000000002,3.900000000000002,0.5,87.30009947595427,12.729691912923153
89.6,4.500000000000003,3.900000000000002,0.5,88.2184365033826,12.490550702312017
89.49999999999999,4.600000000000003,3.900000000000002,0.5,89.10954844058118,12.258637280973714
89.39999999999999,4.700000000000003,3.900000000000002,0.5,89.96967599633463,12.034267409946793
92.3,2.0000000000000004,4.000000000000002,0.2,65.54717389745915,20.823398992923618
92.2,2.1000000000000005,4.000000000000002,0.2,66.08004504696346,20.665396548015927
92.1,2.2000000000000006,4.000000000000002,0.2,66.62579002922298,20.484843055946293
92.0,2.3000000000000007,4.000000000000002,0.2,67.18455215444979,20.2826153955775
91.9,2.400000000000001,4.000000000000002,0.2,67.7567452445764,20.05986409271878
91.8,2.500000000000001,4.000000000000002,0.2,68.34299736165758,19.8179748802257
91.7,2.600000000000001,4.000000000000002,0.2,68.94406911449455,19.558518251719438
91.6,2.700000000000001,4.000000000000002,0.2,69.56075737222244,19.283194309105927
91.5,2.800000000000001,4.000000000000002,0.2,70.1937964831203,18.993779673519274
91.4,2.900000000000001,4.000000000000002,0.2,70.8437675989378,18.692081212764553
91.3,3.0000000000000013,4.000000000000002,0.2,71.51102341920016,18.379898854088555
91.2,3.1000000000000014,4.000000000000002,0.2,72.19563189175922,18.058997641542778
89.5,4.500000000000003,4.000000000000002,0.5,88.65552131171707,12.3733843573306
89.39999999999999,4.600000000000003,4.000000000000002,0.5,89.54638479233478,12.149122560972836
89.3,4.700000000000003,4.000000000000002,0.5,90.40601911462842,11.932576848458796
92.1,2.1000000000000005,4.100000000000002,0.2,66.52930573040837,20.49864159229122
92.0,2.2000000000000006,4.100000000000002,0.2,67.06282227788768,20.31136033162397
91.9,2.3000000000000007,4.100000000000002,0.2,67.60947316147663,20.10299897905016
91.79999999999998,2.400000000000001,4.100000000000002,0.2,68.16990988606278,19.87481974163739
91.6,2.600000000000001,4.100000000000002,0.2,69.33545939758746,19.36502201188963
91.4,2.800000000000001,4.100000000000002,0.2,70.56622862036569,18.795192823859573
91.29999999999998,2.900000000000001,4.100000000000002,0.2,71.20775552254202,18.492171386575855
91.2,3.0000000000000013,4.100000000000002,0.2,71.86716607136367,18.17942736189752
89.39999999999999,4.500000000000003,4.100000000000002,0.5,89.07656021758329,12.26110289429915
89.29999999999998,4.600000000000003,4.100000000000002,0.5,89.96628168190112,12.044750988935826
92.0,2.1000000000000005,4.200000000000003,0.2,66.96177281511872,20.318702650506857
91.7,2.400000000000001,4.200000000000003,0.2,68.56860272593997,19.679056346445357
89.3,4.500000000000003,4.200000000000003,0.5,89.48092475820916,12.15423625300603
